type;statut;adresse;arrondissement;horaire;acces_pmr;relais_bebe;url_fiche_equipement;geo_shape;geo_point_2d_lat;geo_point_2d_long
SANISETTE;;17  AVENUE VICTORIA;75001;24 h / 24;Oui;;;"{""coordinates"": [[2.3465356726600564, 48.85797043992713]], ""type"": ""MultiPoint""}";48.85797043992713;2.3465356726600564
SANISETTE;;90  BOULEVARD DE SEBASTOPOL;75003;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3525443661897643, 48.866017917530364]], ""type"": ""MultiPoint""}";48.866017917530364;2.3525443661897643
SANISETTE;;face au 34 RUE DU GRENIER SAINT LAZARE;75003;6 h - 22 h;Oui;;;"{""coordinates"": [[2.35271771473359, 48.863093610731895]], ""type"": ""MultiPoint""}";48.863093610731895;2.35271771473359
SANISETTE;;face au 171 RUE DU TEMPLE;75003;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3601328610084114, 48.86497566729411]], ""type"": ""MultiPoint""}";48.86497566729411;2.3601328610084114
SANISETTE;;RUE SAINT ANTOINE;75004;24 h / 24;Oui;;;"{""coordinates"": [[2.360419701884554, 48.85530319788791]], ""type"": ""MultiPoint""}";48.85530319788791;2.360419701884554
SANISETTE;;RUE ORTOLON;75005;6 h - 22 h;Oui;;;"{""coordinates"": [[2.350590246372087, 48.843194568802474]], ""type"": ""MultiPoint""}";48.843194568802474;2.350590246372087
SANISETTE;;8  RUE JEAN CALVIN;75005;24 h / 24;Oui;;;"{""coordinates"": [[2.3486915722867328, 48.84164077805071]], ""type"": ""MultiPoint""}";48.84164077805071;2.3486915722867328
SANISETTE;;41  PLACE DE FINLANDE;75007;24 h / 24;Oui;;;"{""coordinates"": [[2.310808622720762, 48.86247699359683]], ""type"": ""MultiPoint""}";48.86247699359683;2.310808622720762
SANISETTE;;AVENUE CHARLES FLOQUET;75007;24 h / 24;Oui;;;"{""coordinates"": [[2.295895903904701, 48.855104384442974]], ""type"": ""MultiPoint""}";48.855104384442974;2.295895903904701
SANISETTE;;AVENUE FRANKLIN D ROOSEVELT;75008;6 h - 22 h;Oui;;;"{""coordinates"": [[2.310160918160138, 48.87014131314518]], ""type"": ""MultiPoint""}";48.87014131314518;2.310160918160138
SANISETTE;;17  BOULEVARD DE ROCHECHOUART;75009;24 h / 24;Oui;;;"{""coordinates"": [[2.3474331686543706, 48.883420611557554]], ""type"": ""MultiPoint""}";48.883420611557554;2.3474331686543706
